type,symbol,open,high,low,close,value,dayChange,dayChangePerc,tsInMillis,Time
LIVE_INDEX,BANKNIFTY,43765.3,43853.4,43460.6,43596.85,43562.4,-34.44999999999709,-0.07901947044338545,1670574434,13:55:43.869019
LIVE_INDEX,BANKNIFTY,43765.3,43853.4,43460.6,43596.85,43562.2,-34.650000000001455,-0.07947821918327001,1670574435,13:55:45.009606
LIVE_INDEX,BANKNIFTY,43765.3,43853.4,43460.6,43596.85,43559.6,-37.25,-0.0854419528016359,1670574436,13:55:46.120424
LIVE_INDEX,BANKNIFTY,43765.3,43853.4,43460.6,43596.85,43563.85,-33,-0.0756935420793016,1670574438,13:55:47.448691
LIVE_INDEX,BANKNIFTY,43765.3,43853.4,43460.6,43596.85,43562.75,-34.099999999998545,-0.07821666014860833,1670574439,13:55:48.761144
LIVE_INDEX,BANKNIFTY,43765.3,43853.4,43460.6,43596.85,43563.35,-33.5,-0.076840413928988,1670574440,13:55:49.882952
LIVE_INDEX,BANKNIFTY,43765.3,43853.4,43460.6,43596.85,43562.65,-34.19999999999709,-0.07844603451854226,1670574441,13:55:50.992310
LIVE_INDEX,BANKNIFTY,43765.3,43853.4,43460.6,43596.85,43564.65,-32.19999999999709,-0.07385854711979671,1670574442,13:55:52.407595
LIVE_INDEX,BANKNIFTY,43765.3,43853.4,43460.6,43596.85,43562.9,-33.94999999999709,-0.07787259859369906,1670574444,13:55:53.516905
LIVE_INDEX,BANKNIFTY,43765.3,43853.4,43460.6,43596.85,43563,-33.849999999998545,-0.07764322422376513,1670574445,13:55:54.810114
LIVE_INDEX,BANKNIFTY,43765.3,43853.4,43460.6,43596.85,43564.6,-32.25,-0.07397323430477203,1670574446,13:55:55.903842
LIVE_INDEX,BANKNIFTY,43765.3,43853.4,43460.6,43596.85,43565,-31.849999999998545,-0.07305573682501956,1670574447,13:55:57.138246
LIVE_INDEX,BANKNIFTY,43765.3,43853.4,43460.6,43596.85,43565.95,-30.900000000001455,-0.07087668031062212,1670574449,13:55:58.570839
LIVE_INDEX,BANKNIFTY,43765.3,43853.4,43460.6,43596.85,43560.05,-36.799999999995634,-0.08440976813690815,1670574450,13:55:59.912202
LIVE_INDEX,BANKNIFTY,43765.3,43853.4,43460.6,43596.85,43563.45,-33.400000000001455,-0.07661103955905406,1670574451,13:56:01.005988
LIVE_INDEX,BANKNIFTY,43765.3,43853.4,43460.6,43596.85,43566.15,-30.69999999999709,-0.07041793157073754,1670574452,13:56:02.409215
LIVE_INDEX,BANKNIFTY,43765.3,43853.4,43460.6,43596.85,43564.7,-32.150000000001455,-0.07374385993483808,1670574454,13:56:03.518626
LIVE_INDEX,BANKNIFTY,43765.3,43853.4,43460.6,43596.85,43564.8,-32.049999999995634,-0.07351448556488745,1670574455,13:56:04.918130
LIVE_INDEX,BANKNIFTY,43765.3,43853.4,43460.6,43596.85,43563.4,-33.44999999999709,-0.07672572674401267,1670574456,13:56:06.011863
LIVE_INDEX,BANKNIFTY,43765.3,43853.4,43460.6,43596.85,43562.35,-34.5,-0.07913415762836076,1670574458,13:56:07.461381
LIVE_INDEX,BANKNIFTY,43765.3,43853.4,43460.6,43596.85,43564.85,-32,-0.07339979837992883,1670574459,13:56:09.289559
